Day,NEAR,EUR
13,8.550000,42.486183,
13,9.500000,47.206875,
13,11.400000,56.648247,
13,7.600000,42.068604,
13,7.600000,42.068604,
13,11.400000,63.102901,
13,13.300000,73.620049,
13,4.750000,26.292875,
13,8.550000,47.327175,
13,12.350000,68.361481,
13,6.650000,36.810024,
13,5.700000,32.467739,
13,4.750000,27.056450,
13,14.250000,81.169350,
13,4.750000,27.056450,
13,6.650000,37.879028,
13,6.650000,37.879028,
13,14.250000,81.169350,
13,8.550000,48.701607,
13,4.750000,24.587236,
13,4.750000,24.587236,
13,0.950000,4.917447,
13,9.500000,49.174473,
13,1.900000,9.834894,
13,13.300000,68.844261,
13,8.550000,44.257023,
13,4.750000,24.587236,
13,7.600000,39.339577,
13,13.300000,68.844261,
13,1.900000,9.834894,
13,16.150000,91.540161,
13,5.700000,32.308289,
13,12.350000,70.001297,
13,7.600000,43.077721,
13,23.750000,134.617874,
13,2.850000,16.154144,
13,0.000000,0.000000,
13,4.750000,27.049469,
13,7.600000,38.703522,
13,8.550000,43.541462,
13,11.400000,58.055283,
13,9.500000,48.379402,
13,5.700000,31.478239,
13,5.700000,28.633329,
13,18.049999,90.672211,
14,10.450000,60.500000,
14,5.700000,33.000000,
14,6.650000,36.907665,
14,2.850000,12.408403,
14,14.250000,62.042019,
14,10.450000,45.497482,
14,7.600000,37.839767,
14,10.450000,52.029682,
14,7.600000,37.839767,
14,0.000000,0.000000,
14,19.950001,100.141754,
14,17.100000,85.835785,
14,8.550000,35.387684,
14,14.250000,58.979477,
14,9.500000,39.319649,
14,19.000000,78.639297,
14,19.950001,95.708138,
14,9.500000,45.575302,
14,3.800000,21.217960,
14,11.400000,63.653881,
14,11.400000,63.653881,
14,8.550000,47.740410,
14,10.450000,58.349392,
14,7.600000,42.435921,
14,10.450000,58.349392,
14,12.350000,47.394703,
14,7.600000,29.165972,
14,10.450000,40.103210,
14,8.550000,32.811714,
14,7.600000,29.165972,
14,11.400000,43.748955,
14,4.750000,18.228731,
14,18.049999,76.240326,
14,4.750000,20.063244,
14,10.450000,44.139137,
14,6.650000,28.088539,
14,2.850000,13.679462,
14,4.750000,22.799105,
14,3.800000,18.239285,
14,7.600000,41.986889,
14,7.600000,41.986889,
14,10.450000,57.731976,
14,12.350000,68.228699,
14,10.450000,57.731976,
14,5.700000,29.041759,
14,3.800000,19.361174,
14,9.500000,48.402931,
14,5.700000,29.041759,
14,12.350000,62.923813,
14,1.900000,9.680587,
14,4.750000,24.201466,
14,5.700000,31.962317,
14,12.350000,54.598423,
14,11.400000,50.398540,
14,8.550000,37.798904,
14,7.600000,33.599030,
14,1.900000,8.399757,
14,7.600000,39.743900,
14,19.950001,104.327736,
14,12.350000,70.925758,
14,2.850000,16.367483,
14,4.750000,27.279137,
14,15.200000,84.748489,
15,8.550000,47.044422,
15,18.049999,73.465416,
15,5.700000,23.199606,
15,7.600000,35.436489,
15,3.800000,17.718245,
15,3.800000,19.365601,
15,13.300000,75.882065,
15,10.450000,59.621624,
15,12.350000,68.661804,
15,14.250000,79.225159,
15,14.250000,79.225159,
15,13.300000,73.943474,
15,15.200000,86.286797,
15,6.650000,37.750473,
15,11.400000,64.715096,
15,8.550000,48.536320,
15,8.550000,48.536320,
15,8.550000,48.536320,
15,8.550000,48.536320,
15,8.550000,48.536320,
15,8.550000,44.912827,
15,12.350000,64.874084,
15,5.700000,29.941885,
15,14.250000,74.854713,
15,6.650000,34.932198,
15,2.850000,14.970942,
15,14.250000,55.791569,
15,8.550000,33.474937,
15,7.600000,29.755503,
15,3.800000,14.877751,
15,8.550000,33.474937,
15,5.700000,22.316628,
15,5.700000,22.316628,
15,5.700000,27.605494,
15,8.550000,41.408237,
15,19.000000,92.018311,
15,7.600000,36.807327,
15,12.350000,59.811905,
15,9.500000,49.917759,
15,6.650000,34.942432,
15,8.550000,44.925983,
15,2.850000,14.975327,
15,12.350000,64.893089,
15,8.550000,44.925983,
15,8.550000,44.925983,
15,12.350000,64.893089,
15,15.200000,79.868416,
15,12.350000,64.893089,
